title,source_title,year,oa_status_august,oa_status_september,DOI
Rounding technique analysis for power-area energy efficient approximate multiplier design,"2019 IEEE 9th Annual Computing and Communication Workshop and Conference, CCWC 2019",2019,"All Open Access, Green",Closed,10.1109/CCWC.2019.8666472
Radio Frequency and Microwave Heating of Preceramic Polymer Nanocomposites with Applications in Mold-Free Processing,Advanced Engineering Materials,2019,"All Open Access, Bronze",Closed,10.1002/adem.201900276
Place-Based Learning with Out-of-Place Species &amp; Students: Teaching International Students about Biological Invasions,American Biology Teacher,2019,"All Open Access, Green",Closed,10.1525/abt.2019.81.7.503
A latitudinal gradient in dimensionality of biodiversity,Ecography,2018,"All Open Access, Bronze",Closed,10.1111/ecog.03654
Simultaneous assessment of key properties of arid soil by combined PXRF and Vis-NIR data,European Journal of Soil Science,2016,"All Open Access, Green",Closed,10.1111/ejss.12320
Multiple lines of evidence reveal complex rainbow trout responses to stream habitat enhancements,Freshwater Biology,2020,"All Open Access, Bronze",Closed,10.1111/fwb.13592
Blockchain Standards for Compliance and Trust,IEEE Cloud Computing,2017,"All Open Access, Green",Closed,10.1109/MCC.2017.3791019
Effect of cardiac resynchronization therapy on right ventricular function,International Journal of Cardiology,2016,"All Open Access, Green",Closed,10.1016/j.ijcard.2016.02.034
"Message banking: Perceptions of persons with motor neuron disease, significant others and clinicians",International Journal of Speech-Language Pathology,2018,"All Open Access, Green",Closed,10.1080/17549507.2017.1356377
Defining and classifying migratory habitats as sources and sinks: The migratory pathway approach,Journal of Applied Ecology,2018,"All Open Access, Bronze",Closed,10.1111/1365-2664.12952
Observation of the seleno bis-(S-glutathionyl) arsinium anion in rat bile,Journal of Inorganic Biochemistry,2016,"All Open Access, Bronze",Closed,10.1016/j.jinorgbio.2016.01.022
Space Colonization and Existential Risk,Journal of the American Philosophical Association,2019,"All Open Access, Green",Closed,10.1017/apa.2019.12
Parenting and digital media,Pediatrics,2017,"All Open Access, Green",Closed,10.1542/peds.2016-1758N
Capturing rents from natural resource abundance: Private royalties from U.S. onshore oil &amp; gas production,Resource and Energy Economics,2016,"All Open Access, Green",Closed,10.1016/j.reseneeco.2016.07.003
The representation of women,The Routledge Handbook of East European Politics,2017,"All Open Access, Green",Closed,10.4324/9781315687681
Defensive manoeuvres of NHX1 and SOS1 co/overexpression in plant salt tolerance,Turkish Journal of Botany,2020,"All Open Access, Bronze",Closed,10.3906/bot-2001-37
Enhanced estimation of boundary layer advective properties to improve space-to-time conversion processes for wind energy applications,Wind Energy,2019,"All Open Access, Bronze",Closed,10.1002/we.2350
